Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
Na VII , ,4.98E+06,1 442 710       , 1/2 ,,,,,,,,,,,,,,,
Na III ,200.4215,2.07E+08,466 788.03    , 3/2 ,,,,,,,,,,,,,,,
Na III ,200.5217,9.67E+07,417 403.98    , 3/2 ,,,,,,,,,,,,,,,
Na III ,200.5546,1.50E+08,465 017.83    , 3/2 ,,,,,,,,,,,,,,,
Na IV , ,3.12E+08,646 419.6     ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na VII , ,1.06E+08,1 303 610       , 5/2 ,,,,,,,,,,,,,,,
Na III , ,1.93E+06,464 077.16    , 3/2 ,,,,,,,,,,,,,,,
Na III ,200.847,1.45E+08,464 945.37    , 5/2 ,,,,,,,,,,,,,,,
Na III ,200.9328, ,515 764.23    , 3/2 ,,,,,,,,,,,,,,,
Na II ,200.9567, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na II ,201.0093, , ,  ,,,,,,,,,,,,,,,
Na III ,201.1865,6.37E+08,463 970.92    , 7/2 ,,,,,,,,,,,,,,,
Na VII , ,1.74E+07,1 303 450?      , 3/2 ,,,,,,,,,,,,,,,
Na III ,201.4169,4.88E+08,495 429.75    , 5/2 ,,,,,,,,,,,,,,,
Na III ,201.7024,5.44E+08,495 435.20    , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na II ,201.7137, , ,  ,,,,,,,,,,,,,,,
Na III ,201.723,4.31E+07,495 429.75    , 5/2 ,,,,,,,,,,,,,,,
Na IV ,201.8137,3.45E+08,536 184.9     ,0,,,,,,,,,,,,,,,
Na IV ,201.8384,3.44E+08,536 178.8     ,2,,,,,,,,,,,,,,,
Na II ,201.8409, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na IV ,201.9188,3.44E+08,536 159.1     ,1,,,,,,,,,,,,,,,
Na II ,201.9219, , ,  ,,,,,,,,,,,,,,,
Na III , ,2.97E+07,464 631.29    , 3/2 ,,,,,,,,,,,,,,,
Na III ,202.2295,4.62E+07,460 409.70    , 5/2 ,,,,,,,,,,,,,,,
Na III ,202.3225,3.29E+07,463 691.90    , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III , ,9.33E+05,466 788.03    , 3/2 ,,,,,,,,,,,,,,,
Na III ,202.8553,1.93E+08,460 257.21    , 7/2 ,,,,,,,,,,,,,,,
Na III , ,6.48E+05,464 411.94    , 1/2 ,,,,,,,,,,,,,,,
Na III ,203.1128,3.08E+08,464 390.17    , 5/2 ,,,,,,,,,,,,,,,
Na III ,203.5897,6.23E+08,466 011.91    , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III ,203.7776,6.73E+07,460 593.62    , 3/2 ,,,,,,,,,,,,,,,
Na III ,204.1661,1.64E+08,463 245.76    , 7/2 ,,,,,,,,,,,,,,,
Na III ,204.329,4.02E+08,448 107.31    , 1/2 ,,,,,,,,,,,,,,,
Na III , ,1.05E+07,464 077.16    , 3/2 ,,,,,,,,,,,,,,,
Na III ,204.4823,4.00E+08,494 685.86    , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III ,204.5443,1.05E+08,460 409.70    , 5/2 ,,,,,,,,,,,,,,,
Na III ,204.797,4.69E+07,494 685.86    , 3/2 ,,,,,,,,,,,,,,,
Na III ,204.8313,6.54E+07,494 602.73    , 5/2 ,,,,,,,,,,,,,,,
Na III ,204.8719,8.11E+07,460 746.98    , 1/2 ,,,,,,,,,,,,,,,
Na II ,205.0877, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III ,205.1484,4.36E+08,494 602.73    , 5/2 ,,,,,,,,,,,,,,,
Na III ,205.1845,1.37E+07,460 257.21    , 7/2 ,,,,,,,,,,,,,,,
Na III ,205.5183,6.39E+07,460 593.62    , 3/2 ,,,,,,,,,,,,,,,
Na III , ,1.69E+06,466 011.91    , 1/2 ,,,,,,,,,,,,,,,
Na III ,205.873,6.95E+07,460 746.98    , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na II ,205.9617, , ,  ,,,,,,,,,,,,,,,
Na III ,206.036,8.12E+07,463 691.90    , 5/2 ,,,,,,,,,,,,,,,
Na III ,206.299,2.21E+07,460 409.70    , 5/2 ,,,,,,,,,,,,,,,
Na VIII , ,2.03E+08,1 474 580       ,2,,,,,,,,,,,,,,,
Na VII , ,1.81E+04,1 464 050       , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na VII , ,2.55E+05,1 464 050       , 5/2 ,,,,,,,,,,,,,,,
Na III ,206.5282,2.58E+07,460 593.62    , 3/2 ,,,,,,,,,,,,,,,
Na V , ,2.46E-02,48 379       , 3/2 ,,,,,,,,,,,,,,,
Na V , ,6.34E-04,48 379       , 3/2 ,,,,,,,,,,,,,,,
Na III ,206.6601,3.72E+08,447 547.96    , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III , ,1.53E+08,466 788.03    , 3/2 ,,,,,,,,,,,,,,,
Na III ,206.6905,1.57E+07,447 547.96    , 3/2 ,,,,,,,,,,,,,,,
Na V , ,7.43E-04,48 343       , 5/2 ,,,,,,,,,,,,,,,
Na V , ,9.82E-04,48 343       , 5/2 ,,,,,,,,,,,,,,,
Na VII , ,1.59E+07,1 577 810?      , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na VII , ,1.49E+07,1 577 810?      , 5/2 ,,,,,,,,,,,,,,,
Na VII , ,1.06E+06,1 577 810?      , 5/2 ,,,,,,,,,,,,,,,
Na III ,207.2673,3.52E+08,466 788.03    , 3/2 ,,,,,,,,,,,,,,,
Na II ,207.7178, , ,  ,,,,,,,,,,,,,,,
Na III ,207.7974, ,465 017.83    , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III ,208.2907, ,465 398.59    , 5/2 ,,,,,,,,,,,,,,,
Na III ,209.4808,3.09E+07,464 631.29    , 3/2 ,,,,,,,,,,,,,,,
Na III ,209.9563,8.62E+07,465 017.83    , 3/2 ,,,,,,,,,,,,,,,
Na III ,210.0443,7.41E+07,466 011.91    , 1/2 ,,,,,,,,,,,,,,,
Na VII , ,3.83E+06,1 306 470       , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na VII , ,3.84E+06,1 306 470       , 1/2 ,,,,,,,,,,,,,,,
Na III ,210.2762,2.31E+08,464 945.37    , 5/2 ,,,,,,,,,,,,,,,
Na III , ,2.37E+06,464 411.94    , 1/2 ,,,,,,,,,,,,,,,
Na II ,210.4516, , ,  ,,,,,,,,,,,,,,,
Na III ,210.476,1.34E+08,493 293.98    , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na IV ,210.6327,2.72E+08,572 546.0     ,3,,,,,,,,,,,,,,,
Na III , ,1.52E+07,466 011.91    , 1/2 ,,,,,,,,,,,,,,,
Na IV , ,1.99E+07,572 546.0     ,3,,,,,,,,,,,,,,,
Na III ,210.927,3.97E+07,493 192.06    , 3/2 ,,,,,,,,,,,,,,,
Na II ,210.9585, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Na III ,211.265,1.54E+08,493 192.06    , 3/2 ,,,,,,,,,,,,,,,
Na IV ,211.3099,4.70E+07,572 393.8     ,2,,,,,,,,,,,,,,,
Na V , ,1.44E+08,942 160?      , 7/2 ,,,,,,,,,,,,,,,
Na IV ,211.4533,2.10E+08,572 393.8     ,2,,,,,,,,,,,,,,,
