Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
Al III , , ,217 250.17  , 7/2 ,,,,,,,,,,,,,,
Al III , , ,217 250.17  , 9/2 ,,,,,,,,,,,,,,
Al III , , ,217 250.17  , 7/2 ,,,,,,,,,,,,,,
Al II ,201.5864, ,144 941.10  ,1,,,,,,,,,,,,,,
Al II ,201.6053,9.82E+07,145 135.31  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,201.619, ,870 991.9   ,2,,,,,,,,,,,,,,
Al II ,201.6193,1.10E+07,145 131.93  ,3,,,,,,,,,,,,,,
Al II ,201.6234,8.73E+07,145 131.93  ,3,,,,,,,,,,,,,,
Al II , ,4.32E+05,145 129.51  ,2,,,,,,,,,,,,,,
Al II ,201.6334,1.53E+07,145 129.51  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,201.6369,8.25E+07,145 129.51  ,2,,,,,,,,,,,,,,
Al VIII , ,4.55E+00,96 260+x   ,0,,,,,,,,,,,,,,
Al II ,202.2081,4.05E+07,134 919.40  ,1,,,,,,,,,,,,,,
Al VII , ,3.48E+07,1 592 150     , 3/2 ,,,,,,,,,,,,,,
Al II ,203.675, ,143 166.76  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,203.922, ,143 170.04  ,2,,,,,,,,,,,,,,
Al II ,203.94, ,143 165.4   ,0,,,,,,,,,,,,,,
Al II ,204.427, ,143 170.04  ,2,,,,,,,,,,,,,,
Al II ,204.441, ,143 166.76  ,1,,,,,,,,,,,,,,
Al II ,204.763, ,140 095.7   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,204.779, ,140 091.9   ,1,,,,,,,,,,,,,,
Al II ,204.787, ,140 090.0   ,0,,,,,,,,,,,,,,
Al IX , ,7.50E+06,1 690 940?    , 1/2 ,,,,,,,,,,,,,,
Al VI , ,2.67E+05,1 079 610     ,3,,,,,,,,,,,,,,
Al VII , ,5.22E+07,1 591 560     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,4.05E+05,1 079 456     ,2,,,,,,,,,,,,,,
Al VI , ,1.78E+06,1 079 437     ,1,,,,,,,,,,,,,,
Al VI , ,1.86E+06,1 079 456     ,2,,,,,,,,,,,,,,
Al VI , ,8.00E+05,1 079 437     ,1,,,,,,,,,,,,,,
Al XI , ,9.82E+07,2 068 770     , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,2.30E+06,1 079 610     ,3,,,,,,,,,,,,,,
Al III , ,2.86E+06,213 995.48  , 5/2 ,,,,,,,,,,,,,,
Al III , ,4.28E+07,213 995.48  , 7/2 ,,,,,,,,,,,,,,
Al III , ,4.00E+07,213 995.48  , 5/2 ,,,,,,,,,,,,,,
Al II ,207.4009,1.41E+08,133 681.78  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,207.962, ,48 182     , 5/2 ,,,,,,,,,,,,,,
Al I ,207.962, ,48 070     , 3/2 ,,,,,,,,,,,,,,
Al I ,207.987, ,48 177     , 5/2 ,,,,,,,,,,,,,,
Al VI , ,5.14E+05,1 079 456     ,2,,,,,,,,,,,,,,
Al I ,208.015, ,48 170     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,208.046, ,48 163     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.046, ,48 051     , 3/2 ,,,,,,,,,,,,,,
Al I ,208.079, ,48 155     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.115, ,48 147     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.14, ,48 031.1   , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,208.1481, ,85 481.35  ,2,,,,,,,,,,,,,,
Al I ,208.157, ,48 137     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.201, ,48 127     , 5/2 ,,,,,,,,,,,,,,
