Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
140,2721.645,0.0027,0,4s2,1S,0,1
140,2721.645,0.0027,36731.615,4s5p,1P¡ã,1,3
1000,4226.727,2.2,0,4s2,1S,0,1
1000,4226.727,2.2,23652.304,4s4p,1P¡ã,1,3
500,4425.441,0.498,15157.901,4s4p,3P¡ã,0,1
500,4425.441,0.498,37748.197,4s4d,3D,1,3
500,4434.96,0.67,15210.063,4s4p,3P¡ã,1,3
500,4434.96,0.67,37751.867,4s4d,3D,2,5
500,4435.688,0.342,15210.063,4s4p,3P¡ã,1,3
500,4435.688,0.342,37748.197,4s4d,3D,1,3
600,4454.781,0.87,15315.943,4s4p,3P¡ã,2,5
600,4454.781,0.87,37757.449,4s4d,3D,3,7
600,4455.887,0.2,15315.943,4s4p,3P¡ã,2,5
600,4455.887,0.2,37751.867,4s4d,3D,2,5
500,5588.757,0.49,20371,3d4s,3D,3,7
500,5588.757,0.49,38259.124,3d4p,3D¡ã,3,7
500,6102.722,0.096,15157.901,4s4p,3P¡ã,0,1
500,6102.722,0.096,31539.495,4s5s,3S,1,3
600,6122.219,0.287,15210.063,4s4p,3P¡ã,1,3
600,6122.219,0.287,31539.495,4s5s,3S,1,3
600,6162.172,0.354,15315.943,4s4p,3P¡ã,2,5
600,6162.172,0.354,31539.495,4s5s,3S,1,3
700,6439.073,0.53,20371,3d4s,3D,3,7
700,6439.073,0.53,35896.889,3d4p,3F¡ã,4,9
700,6462.566,0.47,20349.26,3d4s,3D,2,5
700,6462.566,0.47,35818.713,3d4p,3F¡ã,3,7
600,6493.78,0.44,20335.36,3d4s,3D,1,3
600,6493.78,0.44,35730.454,3d4p,3F¡ã,2,5
