Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
5300,3385.014,0.539,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,
5300,3385.014,0.539,30361.81,4f10(5I)6p,4H～,2月13日,14,N,
5300,3407.792,0.488,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,Fe
5300,3407.792,0.488,29336.093,4f10(5I)6p,6I～,2月17日,18,N,Fe
4400,3460.966,0.297,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,
4400,3460.966,0.297,28885.393,4f10(5I)6p,～,2月15日,16,N,
4400,3494.489,0.315,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,
4400,3494.489,0.315,29436.61,4f10(5I)6p,～,2月15日,16,N,
22000,3531.703,1.56,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,Fe
22000,3531.703,1.56,28306.843,4f10(5I)6p,6K～,2月19日,20,N,Fe
5500,3536.018,1.01,4341.104,4f10(5I7)6s1/2,"(7,1/2)",2月15日,16,N,
5500,3536.018,1.01,32613.423,4f9(6H～)5d2(3F),～,2月17日,18,N,
4000,3630.239,0.305,4341.104,4f10(5I7)6s1/2,"(7,1/2)",2月15日,16,N,Fe
4000,3630.239,0.305,31879.655,4f10(5I)6p,6K～,2月17日,18,N,Fe
11000,3645.396,0.62,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,Ca
11000,3645.396,0.62,28252.357,4f9(6H～)5d2(1G),～,2月17日,18,N,Ca
4700,3694.811,0.237,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,Fe
4700,3694.811,0.237,27885.593,4f9(6H～)5d2(3F),～,2月15日,16,N,Fe
4700,3757.367,0.201,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,Fe
4700,3757.367,0.201,27435.132,4f9(6H～)5d2(3P),～,2月15日,16,N,Fe
7000,3872.103,0.254,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,Fe
7000,3872.103,0.254,25818.435,4f10(5I)6p,～,2月17日,18,N,Fe
5800,3898.528,0.469,4755.673,4f10(5I7)6s1/2,"(7,1/2)",2月13日,14,N,
5800,3898.528,0.469,30399.107,4f9(6H～)5d2(3F),～,2月15日,16,N,
10000,3944.679,0.307,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,Al
10000,3944.679,0.307,25343.427,4f9(6H～)5d2(3P),～,2月17日,18,N,Al
14000,3968.384,0.455,0,4f10(5I8)6s1/2,"(8,1/2)",2月17日,18,N,Fe
14000,3968.384,0.455,25192.039,4f10(5I)6p,～,2月15日,16,N,Fe
8000,4000.449,0.254,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,
8000,4000.449,0.254,25818.435,4f10(5I)6p,～,2月17日,18,N,
7400,4077.965,0.202,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,,
7400,4077.965,0.202,25343.427,4f9(6H～)5d2(3P),～,2月17日,18,,
3900,4103.305,0.104,828.314,4f10(5I8)6s1/2,"(8,1/2)",2月15日,16,N,
3900,4103.305,0.104,25192.039,4f10(5I)6p,～,2月15日,16,N,
