Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
8100,3398.95,0.635,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,,
8100,3398.95,0.635,29412.38,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",8,17,,
5400,3416.44, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,N,
5400,3416.44, ,29899.21,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",7,15,N,
3200,3453.11, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,N,
3200,3453.11, ,29588.49,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",6,13,N,
16000,3456.02, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
16000,3456.02, ,28926.7,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",9,19,N,
5400,3474.25,0.487,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,
5400,3474.25,0.487,29412.38,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",8,17,,
6300,3484.8, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,N,
6300,3484.8, ,29325.2, , ,7,15,N,
4100,3515.56, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,N,
4100,3515.56, ,29074.26, , ,6,13,N,
3200,3748.17, , , , , ,,N,Fe
3200,3748.17, , , , , ,,N,Fe
8900,3796.75,0.43,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
8900,3796.75,0.43,26330.85,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",8,17,N,
8900,3810.74, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,
8900,3810.74, ,26234.19,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",7,15,N,
3000,3888.96, ,5849.74,4f11(4Iбл13/2)6s1/2,"(13/2,1/2)бл",6,13,N,
3000,3888.96, ,31556.3,4f11(4Iбл13/2)6p1/2,"(13/2,1/2)",7,15,N,
13000,3890.94,0.699,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15,,
13000,3890.94,0.699,26330.85,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",8,17,,
5400,4045.47, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N,K
5400,4045.47, ,24712, , ,7,15,N,K
