Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
6200,3242.272,2.03,1449.752,4d5s,3D,3,7,N,
6200,3242.272,2.03,32283.42,4d5p,3P¡«,2,5,N,
3900,3549.002,0.397,1045.076,4d5s,3D,2,5,,
3900,3549.002,0.397,29213.958,4d5p,3D¡«,3,7,,
10000,3600.731,1.38,1449.752,4d5s,3D,3,7,N,
10000,3600.731,1.38,29213.958,4d5p,3D¡«,3,7,N,
7800,3611.043,1.04,1045.076,4d5s,3D,2,5,N,
7800,3611.043,1.04,28730.01,4d5p,3D¡«,2,5,N,
7800,3633.121,1.3,0,5s2,1S,0,1,N,
7800,3633.121,1.3,27516.699,4d5p,1P¡«,1,3,N,
13000,3710.287,1.54,1449.752,4d5s,3D,3,7,,
13000,3710.287,1.54,28394.177,4d5p,3F¡«,4,9,,
10000,3774.33,1.1,1045.076,4d5s,3D,2,5,,
10000,3774.33,1.1,27532.321,4d5p,3F¡«,3,7,,
4000,3832.889,0.295,1449.752,4d5s,3D,3,7,N,
4000,3832.889,0.295,27532.321,4d5p,3F¡«,3,7,N,
3600,3982.592,0.271,1045.076,4d5s,3D,2,5,N,
3600,3982.592,0.271,26147.252,4d5p,1D¡«,2,5,N,
8000,4177.528,0.527,3296.18,4d5s,1D,2,5,N,
8000,4177.528,0.527,27227.027,4d5p,3F¡«,2,5,N,
12000,4374.933,0.997,3296.18,4d5s,1D,2,5,,
12000,4374.933,0.997,26147.252,4d5p,1D¡«,2,5,,
1900,4883.682,0.47,8743.322,4d2,3F,4,9,,
1900,4883.682,0.47,29213.958,4d5p,3D¡«,3,7,,
1100,4900.118,0.451,8328.039,4d2,3F,3,7,N,
1100,4900.118,0.451,28730.01,4d5p,3D¡«,2,5,N,
1100,5087.418,0.195,8743.322,4d2,3F,4,9,,
1100,5087.418,0.195,28394.177,4d5p,3F¡«,4,9,,
1500,5205.722,0.159,8328.039,4d2,3F,3,7,N,
1500,5205.722,0.159,27532.321,4d5p,3F¡«,3,7,N,
